"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
627,225244800,15.8,44.0167,4.24,627,78,0,1,0.23,TRUE
628,226368000,7.3358,46.507,4.23,628,0,0,0,0.27,TRUE
629,228438000,16.3,41.2333,4.39,629,0,0,0,0.28,TRUE
632,230252400,17.8,43.05,4.4,632,0,0,0,0.28,TRUE
635,232412400,16.05,43.15,4.95,635,0,0,0,0.28,TRUE
636,234313200,14.45,37.8833,4.61,636,0,0,0,0.1,TRUE
637,234313200,18.95,39.5,4.14,637,0,0,0,0.23,TRUE
638,234399600,15.4333,41.3,4.14,638,0,0,0,0.23,TRUE
639,235609200,15.7667,39.2,4.26,639,0,0,0,0.27,TRUE
640,236214000,11.45,44.35,4.25,640,0,0,0,0.19,TRUE
641,236300400,14.6833,38.5333,5.27,641,79,0,1,0.1,TRUE
642,236473200,11.9833,38.5667,4.58,642,80,0,1,0.21,TRUE
644,236732400,6.6212,44.7847,4.13,644,0,0,0,0.27,TRUE
645,236991600,9.25,44.25,4.14,645,0,0,0,0.23,TRUE
